ArraySize,AdditionsPerSecond,ActualRuntime
20063488,2913989312.494646,1762619
20063488,2910305650.905176,1764850
20063488,2911655189.928527,1764032
20063488,2907865472.552992,1766331
20063488,2915085806.910048,1761956
20063488,2911227755.511987,1764291
20063488,2911783939.944012,1763954
20063488,2916403352.335960,1761160
29341848,2754147470.837950,1363673
29341848,2765944089.841567,1357857
29341848,2766873270.315846,1357401
29341848,2750730421.930514,1365367
29341848,2765398283.663138,1358125
29341848,2752994731.147800,1364244
29341848,2752407628.972507,1364535
29341848,2750754597.888461,1365355
29341848,2765465479.510961,1358092
29341848,2755911758.144996,1362800
29341848,2750164423.043127,1365648
29341848,2752815144.103383,1364333
29341848,2753983888.589878,1363754
29341848,2765921683.109109,1357868
29341848,2763892324.844631,1358865
29341848,2767150515.190475,1357265
29341848,2767931584.323471,1356882
29341848,2765471588.386328,1358089
29341848,2765542860.593172,1358054
29341848,2751742145.926520,1364865
42910984,2689126762.769985,1021262
42910984,2691955094.595217,1020189
42910984,2653176481.499372,1035100
42910984,2673670055.278309,1027166
42910984,2687960787.115654,1021705
42910984,2687895017.274622,1021730
42910984,2683244057.406881,1023501
42910984,2693504893.085734,1019602
42910984,2689611348.006715,1021078
42910984,2661535724.703905,1031849
42910984,2666885784.231374,1029779
42910984,2685190720.394541,1022759
42910984,2692084396.259337,1020140
42910984,2689213659.228244,1021229
42910984,2685723790.188508,1022556
42910984,2653296957.740328,1035053
42910984,2688831883.325794,1021374
42910984,2690512508.621230,1020736
42910984,2691923430.774916,1020201
42910984,2694773516.811530,1019122
62755168,2605452285.097080,1541510
62755168,2597702200.815078,1546109
62755168,2554453039.714149,1572286
62755168,2590043182.317962,1550681
62755168,2593264106.976248,1548755
62755168,2592751836.112329,1549061
62755168,2586323847.277790,1552911
62755168,2583919483.052788,1554356
62755168,2598865388.435613,1545417
62755168,2587011868.614324,1552498
62755168,2595618801.176205,1547350
62755168,2584035854.405174,1554286
62755168,2564300642.043916,1566248
62755168,2565625841.696802,1565439
62755168,2576009266.712376,1559129
62755168,2556430173.066763,1571070
62755168,2578713466.632937,1557494
62755168,2594217201.292351,1548186
62755168,2582625143.154775,1555135
62755168,2585135249.497144,1553625
91776294,2577540000.544147,1139397
91776294,2588679485.303580,1134494
91776294,2587598367.531067,1134968
91776294,2596201529.870306,1131207
91776294,2594495118.604958,1131951
91776294,2586618387.561014,1135398
91776294,2580602123.817600,1138045
91776294,2597209457.642947,1130768
91776294,2594722051.999731,1131852
91776294,2586046695.766034,1135649
91776294,2540329009.840955,1156087
91776294,2584067089.067583,1136519
91776294,2585527609.063305,1135877
91776294,2583710172.467792,1136676
91776294,2580445670.644593,1138114
91776294,2619270510.254682,1121244
91776294,2595155398.736196,1131663
91776294,2578653482.072692,1138905
91776294,2591550879.471814,1133237
91776294,2597701077.524824,1130554
134218240,2588067655.177691,1659533
134218240,2591318645.317418,1657451
134218240,2595857418.891991,1654553
134218240,2596916870.530958,1653878
134218240,2605535938.636514,1648407
134218240,2589749905.785807,1658455
134218240,2582249734.258738,1663272
134218240,2591451544.197238,1657366
134218240,2590240323.350065,1658141
134218240,2589084859.010381,1658881
134218240,2585009942.846687,1661496
134218240,2595885659.717081,1654535
134218240,2606856440.871780,1647572
134218240,2610108834.963315,1645519
134218240,2589240942.595798,1658781
134218240,2584252474.303287,1661983
134218240,2561059394.144663,1677034
134218240,2602006418.104944,1650643
134218240,2586147757.208274,1660765
134218240,2584404865.559289,1661885
